Ticket Number,Date,Application,Subject,Description,Steps Taken,Proposed Fix,ErrorNo
TK0201,5/28/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0202,5/29/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,ERRBKP0567
TK0203,5/30/2021,SP_BK,Issue with account postings,Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
TK0204,5/31/2021,SP_BK,Error when trying to run report,Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
TK0205,6/1/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0206,6/2/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0207,6/3/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0208,6/4/2021,SP_BK,Error with document postings,Error with document postings,Verified document and checked for posting,Resolved issue by updating document type,
TK0209,6/5/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0210,6/6/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0211,6/7/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0212,6/8/2021,SP_BK,Issue with account postings,Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
TK0213,6/9/2021,SP_BK,Error when trying to run report,Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
TK0214,6/10/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0215,6/11/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0216,6/12/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0217,6/13/2021,SP_BK,Error with document postings,Error with document postings,Verified document and checked for posting,Resolved issue by updating document type,
TK0218,6/14/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0219,6/15/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,ERRBKP0976
TK0220,6/16/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0221,6/17/2021,SP_BK,Issue with account postings,Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
TK0222,6/18/2021,SP_BK,Error when trying to run report,Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
TK0223,6/19/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0224,6/20/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0225,6/21/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0226,6/22/2021,SP_BK,Error with document postings,Error with document postings,Verified document and checked for posting,Resolved issue by updating document type,
TK0227,6/23/2021,SP_BK,Unable to save document,Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
TK0228,6/24/2021,SP_BK,Error when trying to create new document,Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
TK0229,6/25/2021,SP_BK,Error when trying to post document,Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
TK0230,6/26/2021,SP_BK,Issue with account postings,Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
TK0231,6/27/2021,SP_BK,Error when trying to run report,Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
